db_id,question_id,question,gold_sql,generated_sql,success,error_message,execution_time,difficulty,hardness
debit_card_specializing,1501,"Please list the countries of the gas stations with transactions taken place in June, 2013.",SELECT DISTINCT T2.Country FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T3.Date = '201306',,False,"Query execution failed: relation ""gas_stations"" does not exist
LINE 1: SELECT DISTINCT c.country_name FROM gas_stations gs INNER JO...
                                            ^
",46.068986654281616,moderate,unknown
debit_card_specializing,1533,For all the people who paid more than 29.00 per unit of product id No.5. Give their consumption status in the August of 2012.,"SELECT T2.Consumption FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Price / NULLIF(T1.Amount, 0) > 29.00 AND T1.ProductID = 5 AND T2.Date = '201208'",SELECT * FROM atom WHERE element = 'cl' AND molecule_id = 'TR000';,True,,19.895613193511963,moderate,unknown
debit_card_specializing,1473,What was the average monthly consumption of customers in SME for the year 2013?,"SELECT AVG(T2.Consumption) / NULLIF(12, 0) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'",,False,"Query execution failed: relation ""o"" does not exist
LINE 1: SELECT * FROM o LIMIT 5;
                      ^
",24.97916579246521,moderate,unknown
student_club,1426,List the last name of members with a major in environmental engineering and include its department and college name.,"SELECT T2.last_name, T1.department, T1.college FROM major AS T1 INNER JOIN member AS T2 ON T1.major_id = T2.link_to_major WHERE T2.position = 'Member' AND T1.major_name = 'Environmental Engineering'",SELECT * FROM member LIMIT 5;,True,,27.183512926101685,moderate,unknown
student_club,1317,"Among the students from the Student_Club who attended the event ""Women's Soccer"", how many of them want a T-shirt that's in medium size?",SELECT COUNT(T1.event_id) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer' AND T3.t_shirt_size = 'Medium',,False,"Query execution failed: syntax error at or near ""s""
LINE 1: ...(*) FROM attendance WHERE link_to_event = 'Women\'s Soccer' ...
                                                             ^
",13.64678144454956,moderate,unknown
student_club,1457,Give the full name and contact number of members who had to spend more than average on each expense.,"SELECT DISTINCT T3.first_name, T3.last_name, T3.phone FROM expense AS T1 INNER JOIN budget AS T2 ON T1.link_to_budget = T2.budget_id INNER JOIN member AS T3 ON T3.member_id = T1.link_to_member WHERE T1.cost > (SELECT AVG(T1.cost) FROM expense AS T1 INNER JOIN budget AS T2 ON T1.link_to_budget = T2.budget_id INNER JOIN member AS T3 ON T3.member_id = T1.link_to_member)",SELECT * FROM member LIMIT 5;,True,,24.124936819076538,challenging,unknown
thrombosis_prediction,1227,What is the average age of the male patient with high cholesterol?,"SELECT AVG(EXTRACT(YEAR FROM CURRENT_DATE) - EXTRACT(YEAR FROM T1.Birthday)) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.""T-CHO"" >= 250 AND T1.SEX = 'M'",,False,"Query execution failed: relation ""patients"" does not exist
LINE 1: SELECT AVG(p.age) AS average_age FROM patients p JOIN diagno...
                                              ^
",22.7417893409729,moderate,unknown
thrombosis_prediction,1281,"Among the patients who have an abnormal level of glutamic oxaloacetic transaminase, when was the youngest of them born?",SELECT T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GOT >= 60 ORDER BY T1.Birthday DESC NULLS LAST LIMIT 1,,False,"Query execution failed: relation ""patients"" does not exist
LINE 1: ...ECT MIN(p.birth_date) AS youngest_birth_date FROM patients p...
                                                             ^
",22.265072345733643,moderate,unknown
thrombosis_prediction,1254,How many patients with a normal Ig A level came to the hospital after 1990/1/1?,"SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.IGA BETWEEN 80 AND 500 AND TO_CHAR(CAST(T1.""First Date"" AS TIMESTAMP), 'YYYY') > '1990'",,False,"Query execution failed: relation ""laboratory_result"" does not exist
LINE 1: ...(DISTINCT p.patient_id) FROM patient p INNER JOIN laboratory...
                                                             ^
",26.825973510742188,moderate,unknown
european_football_2,1136,How many players had the highest potential score for crossing that preferred to use their left foots while attacking?,SELECT COUNT(t1.id) FROM Player_Attributes AS t1 WHERE t1.preferred_foot = 'left' AND t1.crossing = (SELECT MAX(crossing) FROM Player_Attributes),SELECT COUNT(*) FROM atom WHERE element = 'cl' AND molecule_id = 'TR000' AND atom_id IN (SELECT atom_id FROM atom WHERE element = 'cl' AND molecule_id = 'TR000');,True,,7.661559104919434,moderate,unknown
european_football_2,1029,What are the speed in which attacks are put together of the top 4 teams with the highest build Up Play Speed?,SELECT t1.buildUpPlaySpeed FROM Team_Attributes AS t1 INNER JOIN Team AS t2 ON t1.team_api_id = t2.team_api_id ORDER BY t1.buildUpPlaySpeed ASC NULLS FIRST LIMIT 4,SELECT * FROM atom WHERE element = 'cl' LIMIT 4;,True,,27.91416883468628,moderate,unknown
european_football_2,1057,Calculate the average home team goal in the 2010/2011 season in the country of Poland.,"SELECT CAST(SUM(t2.home_team_goal) AS REAL) / NULLIF(COUNT(t2.id), 0) FROM Country AS t1 INNER JOIN Match AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Poland' AND t2.season = '2010/2011'",,False,"Query execution failed: column c.country_id does not exist
LINE 1: ...als FROM match m JOIN country c ON m.country_id = c.country_...
                                                             ^
HINT:  Perhaps you meant to reference the column ""m.country_id"".
",20.105162143707275,moderate,unknown
formula_1,846,Please list the reference names of the drivers who are eliminated in the first period in race number 20.,SELECT T2.driverRef FROM qualifying AS T1 INNER JOIN drivers AS T2 ON T2.driverId = T1.driverId WHERE T1.raceId = 20 ORDER BY T1.q1 DESC NULLS LAST LIMIT 5,,False,"Query execution failed: relation ""race_status"" does not exist
LINE 1: SELECT D.reference_name FROM drivers D JOIN race_status RS O...
                                                    ^
",19.189799547195435,moderate,unknown
